636059,Alaska
636033,Alabama
636026,Arizona
636021,Arkansas
636028,British Columbia
636014,California
636020,Colorado
636006,Connecticut
636043,District of Columbia
636011,Delaware
636010,Florida
636055,Georgia
636019,Guam
636047,Hawaii
636050,Idaho
636035,Illinois
636037,Indiana
636018,Iowa
636022,Kansas
636046,Kentucky
636007,Louisiana
636041,Maine
636003,Maryland
636002,Massachusetts
636032,Michigan
636038,Minnesota
636051,Mississippi
636030,Missouri
636008,Montana
636054,Nebraska
636049,Nevada
636017,New Brunswick
636039,New Hampshire
636036,New Jersey
636009,New Mexico
636001,New York
636016,Newfoundland
636004,North Carolina
636034,North Dakota
636013,Nova Scotia
636023,Ohio
636058,Oklahoma
636012,Ontario
636029,Oregon
636025,Pennsylvania
636052,Rhode Island
636044,Saskatchewan
636005,South Carolina
636042,South Dakota
636053,Tennessee
636027,US State Dept
636015,Texas
636040,Utah
636024,Vermont
636000,Virginia
636045,Washington
636031,Wisconsin